x,y,series
2020-01-01,Sales,0.3233066116713782
2020-01-01,Marketing,0.3429723591320573
2020-01-01,Customer Service,0.39719176175448184
2020-04-01,Sales,0.19426637703600705
2020-04-01,Marketing,0.31293892351244257
2020-04-01,Customer Service,0.39379791492744265
2020-07-01,Sales,0.3099457716041522
2020-07-01,Marketing,0.2876193951383799
2020-07-01,Customer Service,0.4093511365867416
2020-10-01,Sales,0.26577570625688185
2020-10-01,Marketing,0.36125426658715054
2020-10-01,Customer Service,0.4154475822344377
2021-01-01,Sales,0.23931798692874617
2021-01-01,Marketing,0.3827105708229857
2021-01-01,Customer Service,0.48012039886151997
2021-04-01,Sales,0.23241279601768575
2021-04-01,Marketing,0.4014531306996646
2021-04-01,Customer Service,0.5592109306138114
2021-07-01,Sales,0.355768211742638
2021-07-01,Marketing,0.40053022283541967
2021-07-01,Customer Service,0.41322606787601324
2021-10-01,Sales,0.33805194902013785
2021-10-01,Marketing,0.40012507744214076
2021-10-01,Customer Service,0.49436102850624236
2022-01-01,Sales,0.3212595262274796
2022-01-01,Marketing,0.34295129137242764
2022-01-01,Customer Service,0.4801434706672539
2022-04-01,Sales,0.3518375546132371
2022-04-01,Marketing,0.4418506222076179
2022-04-01,Customer Service,0.5956995244382571
2022-07-01,Sales,0.32233218418555304
2022-07-01,Marketing,0.4360429745264381
2022-07-01,Customer Service,0.4424492203532672
2022-10-01,Sales,0.3946245111131315
2022-10-01,Marketing,0.39749539440194454
2022-10-01,Customer Service,0.38896121715507853
2023-01-01,Sales,0.41582003261951594
2023-01-01,Marketing,0.4192479083965514
2023-01-01,Customer Service,0.6049325739811887
