x,y,series
2021-01-01,Los Angeles,0.34034349915100126
2021-01-01,New York,0.43388392125915376
2021-04-01,Los Angeles,0.28861209632220824
2021-04-01,New York,0.40199840349571825
2021-07-01,Los Angeles,0.4303209737681886
2021-07-01,New York,0.3502926109419928
2021-10-01,Los Angeles,0.19974205189455913
2021-10-01,New York,0.4935420650245349
2022-01-01,Los Angeles,0.27901881455406846
2022-01-01,New York,0.4038490063106796
2022-04-01,Los Angeles,0.28517586541592405
2022-04-01,New York,0.5087100080823964
2022-07-01,Los Angeles,0.4598492439563853
2022-07-01,New York,0.3881841691802892
2022-10-01,Los Angeles,0.3368864230477467
2022-10-01,New York,0.40037947624451
2023-01-01,Los Angeles,0.33704131434572343
2023-01-01,New York,0.45886649340626684
